,price,rating,screen_size,brand,tv_size,tv_type,resolution,pixels,hd,is_smart,led_type,resolution_type,screen_pixels,has_wifi,has_ethernet,num_speakers,speaker_output,processor_core,processor_ram,processor_inbuilt_storage,is_ultra_slim,viewing_angle,num_hdmi_ports,num_usb_ports
966,166990,84,65.0,samsung,65in, QLED TV,4K Resolution, 3840x2160pixels,Ultra HD,1,QLED,4K Resolution,3840x2160,1.0,1.0,,60.0,,,,0.0,178.0,4.0,2.0
967,189990,72,75.0,tcl,75in, miniLED TV,4K Resolution, 3840x2160pixels,missing,1,LED,4K Resolution,3840x2160,1.0,1.0,2,60.0,,,,0.0,178.0,4.0,1.0
968,11499,45,32.0,onida,32in, LED TV,1366x768pixels,missing,HD,1,LED,missing,1366x768,1.0,0.0,2,20.0,,,,0.0,178.0,2.0,2.0
969,19999,53,40.0,tcl,40in, LED TV,Full HD, 1920x1080pixels,Full HD,1,LED,missing,1920x1080,1.0,1.0,2,20.0,,,,0.0,178.0,2.0,1.0
970,21427,69,43.0,beston,43in, LED TV,4K Resolution, 3840x2160pixels,Ultra HD,1,LED,4K Resolution,3840x2160,1.0,1.0,2,30.0,,1.5,8,0.0,178.0,2.0,3.0
971,20499,57,43.0,beston,43in, LED TV,Full HD, 1920x1080pixels,Full HD,1,LED,missing,1920x1080,1.0,1.0,,,,,,0.0,178.0,2.0,3.0
972,32999,71,55.0,beston,55in, LED TV,4K Resolution, 3840x2160pixels,Ultra HD,1,LED,4K Resolution,3840x2160,1.0,1.0,2,30.0,,1.5,8,0.0,178.0,2.0,3.0
973,29999,55,43.0,haier,43in, LED TV,Full HD, 1920x1080pixels,missing,1,LED,missing,1920x1080,1.0,1.0,2,20.0,,,,0.0,178.0,3.0,2.0
974,25990,35,32.0,haier,32in, LED TV,missing,1366x768pixels,HD,0,LED,missing,1366x768,,,2,16.0,,,,0.0,178.0,3.0,1.0
975,36999,66,55.0,onida,55in, LED TV,4K Resolution, 3840x2160pixels,Ultra HD,1,LED,4K Resolution,3840x2160,1.0,0.0,2,10.0,,,,0.0,178.0,3.0,2.0
976,60990,65,54.72,panasonic,54.72in, LED TV,4K Resolution, 3840x2160pixels,Ultra HD,1,LED,4K Resolution,3840x2160,1.0,0.0,2,,,,,0.0,178.0,3.0,2.0
977,23899,51,40.0,adsun,40in, LED TV,Full HD, 1920x1080pixels,Full HD,1,LED,missing,1920x1080,1.0,1.0,2,20.0,4.0,1,8,0.0,178.0,2.0,2.0
978,8889,32,32.0,compaq,32in, LED TV,missing,1366x768pixels,HD,0,LED,missing,1366x768,,,2,20.0,,,,0.0,178.0,2.0,2.0
979,239990,81,65.0,haier,65in, OLED TV,4K Resolution, 3840x2160pixels,missing,1,missing,4K Resolution,3840x2160,1.0,1.0,2,30.0,,,,0.0,178.0,3.0,2.0
980,9999,53,32.0,infinix,32in, LED TV,1366x768pixels,missing,HD,1,LED,missing,1366x768,1.0,1.0,2,20.0,,1,8,0.0,178.0,3.0,2.0
981,21999,55,43.0,infinix,43in, LED TV,Full HD, 1920x1080pixels,Full HD,1,LED,missing,1920x1080,1.0,1.0,4,36.0,,1,8,0.0,178.0,3.0,2.0
982,24990,45,32.0,hisense,32in, LED TV,1366x768pixels,missing,missing,1,LED,missing,1366x768,1.0,1.0,2,20.0,,,,0.0,178.0,2.0,2.0
983,129999,83,75.0,vu,75in, LED TV,4K Resolution, 3840x2160pixels,Ultra HD,1,QLED,4K Resolution,3840x2160,1.0,1.0,1,100.0,,3,16,0.0,178.0,4.0,2.0
984,79999,81,65.0,vu,65in, LED TV,4K Resolution, 3840x2160pixels,Ultra HD,1,QLED,4K Resolution,3840x2160,1.0,1.0,1,100.0,,3,16,0.0,178.0,4.0,2.0
985,135990,74,75.0,samsung,75in, LED TV,4K Resolution, 3840x2160pixels,Ultra HD,1,LED,4K Resolution,3840x2160,1.0,0.0,2,20.0,,,,0.0,178.0,3.0,1.0
986,1574000,87,98.0,samsung,98in, QLED TV,4K Resolution, 3840x2160pixels,missing,1,LED,4K Resolution,3840x2160,1.0,1.0,4,60.0,,,,0.0,178.0,4.0,2.0
