,brand,tv_type,resolution,resolution_type,x_resolution,y_resolution,screen_size,processor_core,processor_ram,processor_inbuilt_storage,num_speakers,speaker_output,hd,has_wifi,has_ethernet,is_smart,is_ultra_slim,viewing_angle,num_hdmi_ports,num_usb_ports,rating,price
571,tcl,led,4K Resolution,4K Resolution,3840,2160,75.0,,,,2.0,30.0,Ultra HD,1.0,0.0,1.0,0.0,178.0,3.0,1.0,69.0,62000.0
572,tcl,led,Full HD,missing,1920,1080,32.0,,,,2.0,16.0,Full HD,1.0,0.0,1.0,0.0,178.0,2.0,1.0,47.0,16500.0
573,tcl,led,Full HD,missing,1920,1080,40.0,,,,2.0,19.0,Full HD,1.0,0.0,1.0,0.0,178.0,2.0,1.0,49.0,19000.0
574,tcl,mini led qled,4K Resolution,4K Resolution,3840,2160,98.0,,,,2.0,20.0,Ultra HD,1.0,1.0,1.0,,,4.0,1.0,72.0,820000.0
575,tcl,mini led qled,4K Resolution,4K Resolution,3840,2160,85.0,,,,2.0,20.0,Ultra HD,1.0,1.0,1.0,,,4.0,1.0,68.0,230000.0
576,tcl,qled,4K Resolution,4K Resolution,3840,2160,75.0,,,,2.0,30.0,Ultra HD,1.0,1.0,1.0,,,4.0,1.0,73.0,115000.0
577,tcl,qled,4K Resolution,4K Resolution,3840,2160,85.0,,,,2.0,30.0,Ultra HD,1.0,1.0,1.0,,,4.0,1.0,75.0,180000.0
578,tcl,qled,4K Resolution,4K Resolution,3840,2160,65.0,4.0,2.0,16.0,2.0,20.0,Ultra HD,1.0,1.0,1.0,,,3.0,1.0,72.0,65000.0
579,tcl,qled,4K Resolution,4K Resolution,3840,2160,75.0,4.0,2.0,16.0,2.0,30.0,Ultra HD,1.0,1.0,1.0,,,3.0,1.0,76.0,106000.0
580,tcl,qled,4K Resolution,4K Resolution,3840,2160,85.0,4.0,2.0,16.0,2.0,30.0,Ultra HD,1.0,1.0,1.0,,,3.0,1.0,77.0,165000.0
581,tcl,qled,4K Resolution,4K Resolution,3840,2160,55.0,4.0,2.0,16.0,2.0,20.0,Ultra HD,1.0,1.0,1.0,,,3.0,1.0,70.0,49999.0
582,marq,led,,missing,1366,768,32.0,,,,2.0,24.0,HD,,,0.0,0.0,178.0,2.0,2.0,31.0,7649.0
583,panasonic,oled,4K Resolution,4K Resolution,3840,2160,55.0,,,,,150.0,Ultra HD,1.0,0.0,1.0,,,4.0,3.0,77.0,223599.0
584,panasonic,oled,4K Resolution,4K Resolution,3840,2160,65.0,,,,,160.0,Ultra HD,1.0,0.0,1.0,,,4.0,3.0,79.0,314199.0
585,huidi,led,4K Resolution,4K Resolution,3840,2160,43.0,,,,2.0,20.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,3.0,2.0,63.0,16499.0
586,sens,led,4K Resolution,4K Resolution,3840,2160,65.0,,2.0,32.0,2.0,20.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,3.0,2.0,72.0,45999.0
587,panasonic,led,4K Resolution,4K Resolution,3840,2160,75.0,,2.0,16.0,2.0,20.0,Ultra HD,1.0,1.0,1.0,1.0,178.0,3.0,2.0,77.0,174990.0
588,panasonic,led,4K Resolution,4K Resolution,3840,2160,55.0,,2.0,16.0,2.0,20.0,Ultra HD,1.0,1.0,1.0,1.0,178.0,3.0,2.0,80.0,265990.0
589,panasonic,led,4K Resolution,4K Resolution,3840,2160,55.0,,2.0,16.0,2.0,20.0,Ultra HD,1.0,1.0,1.0,1.0,178.0,3.0,2.0,76.0,219990.0
590,panasonic,led,4K Resolution,4K Resolution,3840,2160,65.0,,2.0,16.0,2.0,20.0,Ultra HD,1.0,1.0,1.0,1.0,178.0,4.0,2.0,82.0,319900.0
